Location,Month and Year,Date,Temperature,Humidity ,Precipitation
"Worcester, MA",Feb-19,16,38.82,67,0
"Worcester, MA",Feb-19,17,47.57,61,0
"Worcester, MA",Feb-19,18,47.03,42,0
"Worcester, MA",Feb-19,19,41.4,61,0
"Worcester, MA",Feb-19,20,46.51,74,0
"Worcester, MA",Feb-19,21,48.06,76,0
"Worcester, MA",Feb-19,22,49.78,64,0
"Worcester, MA",Feb-19,23,44.15,83,0
"Worcester, MA",Feb-19,24,37.17,31,0
"Worcester, MA",Feb-19,25,38.79,59,0
"Worcester, MA",Feb-19,26,45.01,73,0
"Worcester, MA",Feb-19,27,47.26,69,0
"Worcester, MA",Feb-19,28,51.15,41,0
"Worcester, MA",Mar-19,1,50.18,79,0.2
"Worcester, MA",Mar-19,2,44.11,92,0
"Worcester, MA",Mar-19,3,45.39,79,0
"Worcester, MA",Mar-19,4,50.58,53,0
"Worcester, MA",Mar-19,5,41.22,73,0
"Worcester, MA",Mar-19,6,42.85,54,0
"Worcester, MA",Mar-19,7,50.72,44,0
"Worcester, MA",Mar-19,8,46.2,66,0
"Worcester, MA",Mar-19,9,46.76,55,0
"Worcester, MA",Mar-19,10,50.81,79,0
"Worcester, MA",Mar-19,11,44.04,59,0
"Worcester, MA",Mar-19,12,34.38,75,0
"Worcester, MA",Mar-19,13,48.9,72,0
"Worcester, MA",Mar-19,14,40.86,81,0
"Worcester, MA",Mar-19,15,46.78,87,1
"Worcester, MA",Mar-19,16,50.49,81,0
"Worcester, MA",Mar-19,17,47.43,56,0
"Worcester, MA",Mar-19,18,38.8,81,0
"Worcester, MA",Mar-19,19,37.78,79,0
"Worcester, MA",Mar-19,20,38.23,67,0
"Worcester, MA",Mar-19,21,36.41,75,0
"Worcester, MA",Mar-19,22,43.45,61,0
"Worcester, MA",Mar-19,23,52.21,63,0
"Worcester, MA",Mar-19,24,49.82,78,0
"Worcester, MA",Mar-19,25,49.87,81,0
"Worcester, MA",Mar-19,26,38.82,74,0
"Worcester, MA",Mar-19,27,42.64,62,0
"Worcester, MA",Mar-19,28,39.11,80,0
"Worcester, MA",Mar-19,29,43.99,76,0
"Worcester, MA",Mar-19,30,49.89,58,0
"Worcester, MA",Mar-19,31,53.38,55,0
"Worcester, MA",Apr-19,1,50.59,68,0
"Worcester, MA",Apr-19,2,53.13,65,0
"Worcester, MA",Apr-19,3,53.13,73,0
"Worcester, MA",Apr-19,4,38.3,88,0.7
"Worcester, MA",Apr-19,5,34.27,82,0
"Worcester, MA",Apr-19,6,39.11,74,0
"Worcester, MA",Apr-19,7,51.84,69,0
"Worcester, MA",Apr-19,8,47.82,83,0
"Worcester, MA",Apr-19,9,48.25,82,0
"Worcester, MA",Apr-19,10,46.15,88,0
"Worcester, MA",Apr-19,11,48.72,97,0
"Worcester, MA",Apr-19,12,46.06,64,0
"Worcester, MA",Apr-19,13,42.98,66,0
"Worcester, MA",Apr-19,14,33.55,84,0
"Worcester, MA",Apr-19,15,37.2,94,0
"Worcester, MA",Apr-19,16,48.25,54,0
"Worcester, MA",Apr-19,17,51.22,82,0.2
"Worcester, MA",Apr-19,18,52.92,65,0
"Worcester, MA",Apr-19,19,54.25,66,0
"Worcester, MA",Apr-19,20,59.25,60,0
"Worcester, MA",Apr-19,21,56.1,63,0
"Worcester, MA",Apr-19,22,53.58,62,0
"Worcester, MA",Apr-19,23,51.89,57,0
"Worcester, MA",Apr-19,24,60.91,65,0
"Worcester, MA",Apr-19,25,47.86,66,0
"Worcester, MA",Apr-19,26,48.04,84,0
"Worcester, MA",Apr-19,27,45.77,75,0
"Worcester, MA",Apr-19,28,43.77,80,0.5
"Worcester, MA",Apr-19,29,43.23,83,0
"Worcester, MA",Apr-19,30,50.18,69,0
"Worcester, MA",May-19,1,50.61,80,0
"Worcester, MA",May-19,2,56.39,65,0
"Worcester, MA",May-19,3,48.56,87,0.9
"Worcester, MA",May-19,4,48.06,78,0
"Worcester, MA",May-19,5,35.78,88,0
"Worcester, MA",May-19,6,38.73,69,0
"Worcester, MA",May-19,7,43.52,66,0
"Worcester, MA",May-19,8,52.03,65,0
"Worcester, MA",May-19,9,47.91,79,0
"Worcester, MA",May-19,10,51.01,74,0
"Worcester, MA",May-19,11,52.34,83,0.1
"Worcester, MA",May-19,12,47.5,85,0
"Worcester, MA",May-19,13,43.57,69,0
"Worcester, MA",May-19,14,45.46,57,0
"Worcester, MA",May-19,15,43.52,61,0
"Worcester, MA",May-19,16,43.88,74,0
"Worcester, MA",May-19,17,52.16,79,0
"Worcester, MA",May-19,18,53.08,82,0
"Worcester, MA",May-19,19,56.07,76,0
"Worcester, MA",May-19,20,55.78,91,0.2
"Worcester, MA",May-19,21,55.51,84,0
"Worcester, MA",May-19,22,56.5,71,0
"Worcester, MA",May-19,23,53.31,73,0
"Worcester, MA",May-19,24,57.97,73,0
"Worcester, MA",May-19,25,59.22,76,0
"Worcester, MA",May-19,26,57.15,83,0
"Worcester, MA",May-19,27,58.87,64,0
"Worcester, MA",May-19,28,58.55,77,0.1
"Worcester, MA",May-19,29,48.96,85,0
"Worcester, MA",May-19,30,51.31,74,0
"Worcester, MA",May-19,31,58.82,71,0
"Worcester, MA",Jun-19,1,62.53,69,0
"Worcester, MA",Jun-19,2,66.67,63,0
"Worcester, MA",Jun-19,3,71.38,68,0
"Worcester, MA",Jun-19,4,63.91,83,0
"Worcester, MA",Jun-19,5,67.62,62,0
"Worcester, MA",Jun-19,6,66.4,73,0
"Worcester, MA",Jun-19,7,55.45,75,0
"Worcester, MA",Jun-19,8,56.3,61,0
"Worcester, MA",Jun-19,9,58.5,57,0
"Worcester, MA",Jun-19,10,58.48,95,0
"Worcester, MA",Jun-19,11,58.12,93,0
"Worcester, MA",Jun-19,12,56.23,88,0
"Worcester, MA",Jun-19,13,61.86,61,0
"Worcester, MA",Jun-19,14,60.55,74,0
"Worcester, MA",Jun-19,15,66.63,76,0
"Worcester, MA",Jun-19,16,59.97,93,0
"Worcester, MA",Jun-19,17,59.61,76,0
"Worcester, MA",Jun-19,18,68.22,76,0
"Worcester, MA",Jun-19,19,66.99,75,0
"Worcester, MA",Jun-19,20,69.67,73,0
"Worcester, MA",Jun-19,21,63.27,79,0
"Worcester, MA",Jun-19,22,62.49,84,0
"Worcester, MA",Jun-19,23,60.08,93,0
"Worcester, MA",Jun-19,24,66.92,76,0
"Worcester, MA",Jun-19,25,71.56,74,0
"Worcester, MA",Jun-19,26,80.98,66,0
"Worcester, MA",Jun-19,27,82.06,72,0
"Worcester, MA",Jun-19,28,71.67,56,0
"Worcester, MA",Jun-19,29,71.01,74,0
"Worcester, MA",Jun-19,30,74.82,67,0
"Worcester, MA",Jul-19,1,81.39,72,0
"Worcester, MA",Jul-19,2,72.77,78,0
"Worcester, MA",Jul-19,3,64.72,68,0
"Worcester, MA",Jul-19,4,64.31,75,0
"Worcester, MA",Jul-19,5,66.78,69,0
"Worcester, MA",Jul-19,6,69.31,55,0
"Worcester, MA",Jul-19,7,66.15,80,0
"Worcester, MA",Jul-19,8,64.67,85,0
"Worcester, MA",Jul-19,9,58.12,71,0
"Worcester, MA",Jul-19,10,58.96,67,0
"Worcester, MA",Jul-19,11,62.94,63,0
"Worcester, MA",Jul-19,12,64.24,73,0
"Worcester, MA",Jul-19,13,63.37,79,0
"Worcester, MA",Jul-19,14,61.29,76,0
"Worcester, MA",Jul-19,15,60.3,84,0
"Worcester, MA",Jul-19,16,63.41,73,0
"Worcester, MA",Jul-19,17,67.91,67,0
"Worcester, MA",Jul-19,18,66.16,61,0
"Worcester, MA",Jul-19,19,69.94,61,0
"Worcester, MA",Jul-19,20,68.4,74,0
"Worcester, MA",Jul-19,21,73.44,82,0.3
"Worcester, MA",Jul-19,22,68.58,74,0
"Worcester, MA",Jul-19,23,72.07,61,0
"Worcester, MA",Jul-19,24,75.51,66,0
"Worcester, MA",Jul-19,25,80.17,64,0
"Worcester, MA",Jul-19,26,81.07,68,0
"Worcester, MA",Jul-19,27,77.72,66,0
"Worcester, MA",Jul-19,28,66.49,83,1.9
"Worcester, MA",Jul-19,29,60.8,85,0
"Worcester, MA",Jul-19,30,69.12,74,0
"Worcester, MA",Jul-19,31,66.6,72,0
"Worcester, MA",Aug-19,1,64.63,72,0
"Worcester, MA",Aug-19,2,66.79,63,0
"Worcester, MA",Aug-19,3,64.26,65,0
"Worcester, MA",Aug-19,4,64.96,69,0
"Worcester, MA",Aug-19,5,69.84,69,0
"Worcester, MA",Aug-19,6,75.29,65,0
"Worcester, MA",Aug-19,7,67.41,88,0.1
"Worcester, MA",Aug-19,8,62.64,83,0
"Worcester, MA",Aug-19,9,66.92,80,0
"Worcester, MA",Aug-19,10,77.65,70,1.8
"Worcester, MA",Aug-19,11,65.89,61,0
"Worcester, MA",Aug-19,12,60.19,90,0
"Worcester, MA",Aug-19,13,58.06,77,0
"Worcester, MA",Aug-19,14,60.71,67,0
"Worcester, MA",Aug-19,15,60.12,66,0
"Worcester, MA",Aug-19,16,62.11,70,0
"Worcester, MA",Aug-19,17,63.82,71,0
"Worcester, MA",Aug-19,18,67.23,77,0
"Worcester, MA",Aug-19,19,72.77,79,1.4
"Worcester, MA",Aug-19,20,67.05,86,0
"Worcester, MA",Aug-19,21,56.55,91,0
"Worcester, MA",Aug-19,22,59.41,79,0
"Worcester, MA",Aug-19,23,66.15,86,0
"Worcester, MA",Aug-19,24,69.89,73,0
"Worcester, MA",Aug-19,25,68.49,80,0
"Worcester, MA",Aug-19,26,70.9,65,0
"Worcester, MA",Aug-19,27,70.39,61,0
"Worcester, MA",Aug-19,28,75.67,61,0
"Worcester, MA",Aug-19,29,75.25,63,0
"Worcester, MA",Aug-19,30,71.15,71,0
"Worcester, MA",Aug-19,31,69.76,75,0
"Worcester, MA",Sep-19,1,72.21,67,0
"Worcester, MA",Sep-19,2,63.95,74,0
"Worcester, MA",Sep-19,3,56.8,79,0
"Worcester, MA",Sep-19,4,61.84,71,0
"Worcester, MA",Sep-19,5,60.42,64,0
"Worcester, MA",Sep-19,6,57.09,66,0
"Worcester, MA",Sep-19,7,60.46,63,0
"Worcester, MA",Sep-19,8,54.77,74,0
"Worcester, MA",Sep-19,9,52.92,80,0
"Worcester, MA",Sep-19,10,55.49,73,0
"Worcester, MA",Sep-19,11,56.39,73,0
"Worcester, MA",Sep-19,12,59.79,61,0
"Worcester, MA",Sep-19,13,64.67,59,0
"Worcester, MA",Sep-19,14,64.83,79,0
"Worcester, MA",Sep-19,15,66.6,76,0
"Worcester, MA",Sep-19,16,70.07,73,0
"Worcester, MA",Sep-19,17,68.52,69,0
"Worcester, MA",Sep-19,18,56.23,74,0
"Worcester, MA",Sep-19,19,49.95,71,0
"Worcester, MA",Sep-19,20,46.83,72,0
"Worcester, MA",Sep-19,21,51.73,62,0
"Worcester, MA",Sep-19,22,61.21,72,0
"Worcester, MA",Sep-19,23,57.92,82,0
"Worcester, MA",Sep-19,24,56.53,74,0
"Worcester, MA",Sep-19,25,60.06,79,0
"Worcester, MA",Sep-19,26,57.63,72,0
"Worcester, MA",Sep-19,27,59.25,80,0
"Worcester, MA",Sep-19,28,60.08,78,0
"Worcester, MA",Sep-19,29,53.33,65,0
"Worcester, MA",Sep-19,30,62.73,75,0
"Worcester, MA",Oct-19,1,60.19,61,0
"Worcester, MA",Oct-19,2,60.44,81,0.3
"Worcester, MA",Oct-19,3,49.48,81,0
"Worcester, MA",Oct-19,4,49.89,56,0
"Worcester, MA",Oct-19,5,54.39,76,0.4
"Worcester, MA",Oct-19,6,54.25,91,0
"Worcester, MA",Oct-19,7,51.31,87,0
"Worcester, MA",Oct-19,8,48.33,83,0
"Worcester, MA",Oct-19,9,62.92,66,0.1
"Worcester, MA",Oct-19,10,51.76,75,0
"Worcester, MA",Oct-19,11,47.71,73,0
"Worcester, MA",Oct-19,12,57.31,66,0
"Worcester, MA",Oct-19,13,64.63,65,0
"Worcester, MA",Oct-19,14,61.12,75,0
"Worcester, MA",Oct-19,15,56.75,83,0
"Worcester, MA",Oct-19,16,50.14,77,0
"Worcester, MA",Oct-19,17,55.04,49,0
"Worcester, MA",Oct-19,18,60.42,73,0
"Worcester, MA",Oct-19,19,58.28,84,0.8
"Worcester, MA",Oct-19,20,57.76,87,0
"Worcester, MA",Oct-19,21,61.79,69,0
"Worcester, MA",Oct-19,22,56.93,94,0
"Worcester, MA",Oct-19,23,55.22,95,0
"Worcester, MA",Oct-19,24,53.87,76,0
"Worcester, MA",Oct-19,25,59.25,62,0
"Worcester, MA",Oct-19,26,53.53,77,0
"Worcester, MA",Oct-19,27,60.6,59,0
"Worcester, MA",Oct-19,28,54.81,93,0.2
"Worcester, MA",Oct-19,29,49.62,86,0.1
"Worcester, MA",Oct-19,30,50.02,85,0
"Worcester, MA",Oct-19,31,48.31,79,0
"Worcester, MA",Nov-19,1,47.37,89,0
"Worcester, MA",Nov-19,2,57.34,70,1.7
"Worcester, MA",Nov-19,3,56.73,70,0.2
"Worcester, MA",Nov-19,4,50.92,81,0.4
"Worcester, MA",Nov-19,5,47.8,71,0
"Worcester, MA",Nov-19,6,48.58,88,0
"Worcester, MA",Nov-19,7,47.79,72,0
"Worcester, MA",Nov-19,8,40.69,91,0
"Worcester, MA",Nov-19,9,40.78,85,0
"Worcester, MA",Nov-19,10,37.08,81,0
"Worcester, MA",Nov-19,11,39.27,85,0
"Worcester, MA",Nov-19,12,42.28,81,0.7
"Worcester, MA",Nov-19,13,40.37,80,0
"Worcester, MA",Nov-19,14,36.3,80,0
"Worcester, MA",Nov-19,15,40.93,79,0
"Worcester, MA",Nov-19,16,39.2,79,0
"Worcester, MA",Nov-19,17,38.41,76,0
"Worcester, MA",Nov-19,18,38.14,84,0
"Worcester, MA",Nov-19,19,34.34,87,0
"Worcester, MA",Nov-19,20,38.41,90,0
"Worcester, MA",Nov-19,21,37.58,88,0
"Worcester, MA",Nov-19,22,40.1,91,0
"Worcester, MA",Nov-19,23,39.9,77,0
"Worcester, MA",Nov-19,24,44.62,79,0
"Worcester, MA",Nov-19,25,46.58,92,0
"Worcester, MA",Nov-19,26,50.2,79,0
"Worcester, MA",Nov-19,27,42.67,96,0
"Worcester, MA",Nov-19,28,49.44,75,0
"Worcester, MA",Nov-19,29,48.16,80,0
"Worcester, MA",Nov-19,30,41.59,90,0
"Worcester, MA",Dec-19,1,37.78,68,0
"Worcester, MA",Dec-19,2,38.44,92,0
"Worcester, MA",Dec-19,3,30.65,87,0
"Worcester, MA",Dec-19,4,30.9,84,0
"Worcester, MA",Dec-19,5,32.95,83,0
"Worcester, MA",Dec-19,6,36.72,73,0
"Worcester, MA",Dec-19,7,48.7,69,0
"Worcester, MA",Dec-19,8,40.48,84,0
"Worcester, MA",Dec-19,9,48.38,77,0
"Worcester, MA",Dec-19,10,41.29,76,0.3
"Worcester, MA",Dec-19,11,30,82,0
"Worcester, MA",Dec-19,12,40.33,77,0
"Worcester, MA",Dec-19,13,38.97,59,0.2
"Worcester, MA",Dec-19,14,37.83,81,0
"Worcester, MA",Dec-19,15,48.4,77,0
"Worcester, MA",Dec-19,16,50.81,71,0
"Worcester, MA",Dec-19,17,47.46,70,0
"Worcester, MA",Dec-19,18,46.04,77,0
"Worcester, MA",Dec-19,19,45.97,76,0
"Worcester, MA",Dec-19,20,45.19,83,0
"Worcester, MA",Dec-19,21,42.66,81,0
"Worcester, MA",Dec-19,22,45.82,68,0.4
"Worcester, MA",Dec-19,23,43.02,84,0
"Worcester, MA",Dec-19,24,41.92,82,0
"Worcester, MA",Dec-19,25,46.76,78,0
"Worcester, MA",Dec-19,26,39.78,93,0
"Worcester, MA",Dec-19,27,45,88,1
"Worcester, MA",Dec-19,28,42.71,95,0
"Worcester, MA",Dec-19,29,34.97,63,0
"Worcester, MA",Dec-19,30,33.48,53,0
"Worcester, MA",Dec-19,31,40.77,64,0
"Worcester, MA",Jan-20,1,34.68,89,0
"Worcester, MA",Jan-20,2,37.44,83,0
"Worcester, MA",Jan-20,3,37.29,77,0
"Worcester, MA",Jan-20,4,46.11,83,0
"Worcester, MA",Jan-20,5,36.46,84,0
"Worcester, MA",Jan-20,6,32.97,88,0
"Worcester, MA",Jan-20,7,39.74,64,0
"Worcester, MA",Jan-20,8,38.34,88,0
"Worcester, MA",Jan-20,9,48.65,83,0
"Worcester, MA",Jan-20,10,47.84,43,0
"Worcester, MA",Jan-20,11,41.99,88,0
"Worcester, MA",Jan-20,12,35.91,82,0
"Worcester, MA",Jan-20,13,38.07,87,0
"Worcester, MA",Jan-20,14,44.62,59,0
"Worcester, MA",Jan-20,15,45.99,52,0
"Worcester, MA",Jan-20,16,46.02,66,0
"Worcester, MA",Jan-20,17,41.2,73,0
"Worcester, MA",Jan-20,18,39.83,85,0
"Worcester, MA",Jan-20,19,35.37,85,0
"Worcester, MA",Jan-20,20,30.92,86,0
"Worcester, MA",Jan-20,21,30.67,83,0
"Worcester, MA",Jan-20,22,32.54,78,0
"Worcester, MA",Jan-20,23,32.41,84,0
"Worcester, MA",Jan-20,24,35.82,68,0
"Worcester, MA",Jan-20,25,47.1,78,0
"Worcester, MA",Jan-20,26,40.95,85,0
"Worcester, MA",Jan-20,27,42.71,79,0
"Worcester, MA",Jan-20,28,46.22,67,0
"Worcester, MA",Jan-20,29,40.32,82,0.9
"Worcester, MA",Jan-20,30,39.42,84,0
"Worcester, MA",Jan-20,31,52.11,80,0
