title,type,source,episodes,status,rating,background,producer,studio,duration_min,aired_from_year,genre
SKET Dance,TV,Manga,77,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Tatsunoko Production,24,2011,Comedy
B-gata H-kei,TV,4-koma manga,12,Finished Airing,R+ - Mild Nudity,,Dentsu,"Hal Film Maker, TYO Animations",24,2010,Comedy
Crayon Shin-chan,TV,Manga,0,Currently Airing,PG - Children,"The first English dubbed version was produced with many famous voice actors through 2001&ndash;2002 by Vitello Productions. In 2004, Phuuz Entertainment produced a continuation of the Vitello dub with different Los Angeles-based voice actors. The Phuuz and Vitello dub aired in the United Kingdom, Australia, and Republic of Ireland, and translations of these dubs aired in Europe and Latin America. The dubs were close to the original but had seen some censorship. The English dubbed version by Funimation was produced in 2005, featuring a Texas-based cast of voice actors, and was altered in comparison to the original&mdash;sexual references, dark humor, and references to popular American culture were added later on. Additionally, many non-existent backstories and different personalities were created.Crayon Shin-chan has also been adapted into video games, mobile games and tons of anime movies.",TV Asahi,Shin-Ei Animation,21,1992,Slice of Life
Fruits Basket,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,Fruits Basket won the 2001 Animage&#039;s Anime Grand Prix Award.,TV Tokyo,Studio Deen,24,2001,Slice of Life
Saiunkoku Monogatari,TV,Light novel,39,Finished Airing,PG-13 - Teens 13 or older,,NHK,Madhouse,25,2006,Adventure
One Piece,TV,Manga,0,Currently Airing,PG-13 - Teens 13 or older,"Several anime-original arcs have been adapted into light novels, and the series has inspired 40 video games as of 2016.",Fuji TV,Toei Animation,24,1999,Action
Glass no Kamen (2005),TV,Manga,51,Finished Airing,G - All Ages,,TMS Entertainment,Tokyo Movie Shinsha,25,2005,Drama
Air Gear,TV,Manga,25,Finished Airing,R+ - Mild Nudity,,Marvelous,Toei Animation,24,2006,Action
Saiunkoku Monogatari 2nd Season,TV,Light novel,39,Finished Airing,PG-13 - Teens 13 or older,,NHK,Madhouse,25,2007,Adventure
InuYasha,TV,Manga,167,Finished Airing,PG-13 - Teens 13 or older,"The anime won the &ldquo;Property of the Year&rdquo; award in ICv2&rsquo;s Anime Awards for both 2004 and 2005, and received third place in Animage&rsquo;s Anime Grand Prix &ldquo;Best Anime&rdquo; category in 2003.",Yomiuri Telecasting,Sunrise,24,2000,Action
Chu-Bra!!,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,GANSIS,Zexcs,24,2010,Ecchi
Nodame Cantabile Finale,TV,Manga,11,Finished Airing,PG-13 - Teens 13 or older,,Fuji TV,J.C.Staff,22,2010,Comedy
Ghost Hunt,TV,Novel,25,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,J.C.Staff,25,2006,Comedy
Accel World,TV,Light novel,24,Finished Airing,PG-13 - Teens 13 or older,"Accel World adapts the first 4 novels of Reki Kawahara&#039;s light novel series of the same title, as well as content from the 10th novel.",Genco,Sunrise,24,2012,Action
Bakuman.,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,"Bakuman. was licensed by Media Blasters in North America, but only releasedæ one 2-disc DVD containing the first 7 episodes, the rest of the releases were cancelled.",NHK,J.C.Staff,24,2010,Comedy
Nodame Cantabile,TV,Manga,23,Finished Airing,PG-13 - Teens 13 or older,,Dentsu,J.C.Staff,22,2007,Music
Kamisama Hajimemashita,TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,TMS Entertainment,24,2012,Comedy
Cardcaptor Sakura,TV,Manga,70,Finished Airing,PG - Children,Cardcaptor Sakura won the Animage Grand Prix award for Best Anime in 1999.,NHK,Madhouse,25,1998,Adventure
Daa! Daa! Daa!,TV,Manga,78,Finished Airing,G - All Ages,,,J.C.Staff,25,2000,Comedy
Kimi ni Todoke 2nd Season,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,VAP,Production I.G,23,2011,Slice of Life
Sekaiichi Hatsukoi,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Lantis,Studio Deen,23,2011,Comedy
Code-E,TV,Original,12,Finished Airing,G - All Ages,,Nagoya TV Housou,Studio Deen,24,2007,Comedy
Junjou Romantica,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Frontier Works,Studio Deen,24,2008,Comedy
Kiniro no Corda: Primo Passo,TV,Visual novel,25,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,Yumeta Company,24,2006,Comedy
D.Gray-man Hallow,TV,Manga,13,Finished Airing,R - 17+ (violence & profanity),"D.Gray-man Hallow is based on Katsura Hoshino&#039;s manga series of the same title and adapts chapters 165 to 208 from the 17th to 23rd volumes. The anime was not released on Blu-ray or DVD. The first volumes were scheduled to start release in September 2016, but were indefinitely delayed to improve their quality. The release was later cancelled in March 2017.",TV Tokyo,TMS Entertainment,24,2016,Action
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,OVA,Original,1,Finished Airing,R - 17+ (violence & profanity),,,Lerche,25,2017,Action
Juuni Kokuki,TV,Novel,45,Finished Airing,PG-13 - Teens 13 or older,Juuni Kokuki adapts the first 7 novels of Fuyumi Ono&#039;s light novel series of the same title.,Sogo Vision,Studio Pierrot,25,2002,Action
Diabolik Lovers OVA,OVA,Visual novel,1,Finished Airing,PG-13 - Teens 13 or older,,Frontier Works,"Production I.G, Zexcs",11,2015,Harem
Neko Konogoro,TV,Manga,0,Currently Airing,None,,,Kachidoki Studio,1,2016,Comedy
Ao no 6-gou,OVA,Manga,4,Finished Airing,PG-13 - Teens 13 or older,,,Gonzo,32,1998,Action
Ben-To Picture Drama,Special,Light novel,6,Finished Airing,PG-13 - Teens 13 or older,,AT-X,David Production,9,2011,Comedy
Seikai no Monshou Special,Special,Light novel,1,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Sunrise,90,2000,Action
Tegamibachi Gakuen,Special,Original,25,Finished Airing,PG-13 - Teens 13 or older,,,Studio Pierrot,3,2010,Comedy
Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,ONA,Original,1,Finished Airing,G - All Ages,,,DLE,4,2016,Comedy
Soul Buster,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,MAGES.,Studio Pierrot,13,2016,Action
Death Billiards,Movie,Original,1,Finished Airing,R - 17+ (violence & profanity),"Death Billiards is one of the four anime works that each received 38 million yen (about US$480,000) from the ""2012 Young Animator Training Project."" Just like in 2010 and 2011, the animation labor group received 214.5 million yen (US$2.65 million) from the Japanese government&#039;s Agency for Cultural Affairs, and it distributed most of those funds to studios who train young animators on-the-job.The film was later expanded into the 2015 TV anime Death Parade.",,Madhouse,25,2013,Game
Live On Cardliver Kakeru,TV,Manga,51,Finished Airing,PG - Children,,Sotsu,TMS Entertainment,23,2008,Game
Triage X,TV,Manga,10,Finished Airing,R+ - Mild Nudity,"Episode 1 was previewed at a screening at Shinjuku Kadokawa Cinema on March 29, 2015. Regular broadcasting began on April 9, 2015.",DAX Production,Xebec,23,2015,Action
Shinkai no Kantai: Submarine 707,OVA,Manga,1,Finished Airing,None,,,"J.C.Staff, Toei Animation",46,1997,Action
Nanatsu no Bitoku,TV,Other,10,Finished Airing,R+ - Mild Nudity,,Hobby Japan,Bridge,5,2018,Ecchi
Hai to Gensou no Grimgar Special,Special,Light novel,1,Finished Airing,PG-13 - Teens 13 or older,,,A-1 Pictures,11,2016,Comedy
Medamayaki no Kimi Itsu Tsubusu?,Special,Manga,4,Finished Airing,G - All Ages,,NHK,Fanworks,18,2014,Comedy
Bounty Dog: Getsumen no Ibu,OVA,Original,2,Finished Airing,R - 17+ (violence & profanity),,Starchild Records,Animate Film,29,1994,Action
Aisai Nikki,OVA,Visual novel,1,Finished Airing,Rx - Hentai,,Pink Pineapple,G-Lam,22,2010,Hentai
Chikyuu Shoujo Arjuna,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Satelight,26,2001,Adventure
K-On!!,TV,4-koma manga,26,Finished Airing,PG-13 - Teens 13 or older,,Pony Canyon,Kyoto Animation,24,2010,Comedy
Haru wo Daite Ita,OVA,Manga,2,Finished Airing,R+ - Mild Nudity,,Frontier Works,Trinet Entertainment,30,2005,Drama
Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,Movie,Game,1,Finished Airing,PG - Children,,,OLM,14,2006,Adventure
Soredemo Machi wa Mawatteiru,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Pony Canyon,Shaft,24,2010,Comedy
Majokko Shimai no Yoyo to Nene,Movie,Manga,1,Finished Airing,G - All Ages,,Aniplex,ufotable,100,2013,Fantasy
Bernard-jou Iwaku.,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,DAX Production,Creators in Pack,3,2016,Comedy
Aoi Umi no Tristia,OVA,Visual novel,2,Finished Airing,PG - Children,,,ufotable,27,2004,Adventure
Space_Dandy,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,"Space_Dandy reunites a number of lead production staff members from Cowboy Bebop, including producer Masahiko Minami and director Shinichiro Watanabe. Its production involved as many as 70 animation creators and 20 musical artists as collaborators, with Watanabe insisting that artists could only use pre-1984 musical styles. Although character designer Yoshiyuki Itou is credited as an animation director, his designs were not standardized across the series, allowing for individual animators to express their style. The series was licensed in North America by Funimation.æ Due to licensing issues, their initial simulcast used the instrumental track Cosmic Adventure by jazz band Mountain Mocha Kilimanjaro as the opening song. Viva Namida was used from the 8th episode onwards.",Bandai Visual,Bones,24,2014,Sci-Fi
Nanatsu no Taizai OVA,OVA,Manga,2,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,A-1 Pictures,24,2015,Action
Aoki Hagane no Arpeggio: Ars Nova,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,"Episode 1 was previewed at a screening in Oosaka on September 21, 2013. Regular broadcasting began on October 8, 2013.",Sotsu,SANZIGEN,24,2013,Action
ClassicaLoid 2nd Season,TV,Original,25,Finished Airing,PG-13 - Teens 13 or older,,NHK,Sunrise,24,2017,Music
Juvenile Pornography The Animation,OVA,Manga,1,Finished Airing,Rx - Hentai,,BOOTLEG,Office Takeout,16,2017,Hentai
Chirin no Suzu,Movie,Picture book,1,Finished Airing,PG-13 - Teens 13 or older,,,Sanrio,46,1978,Adventure
Re:Creators,TV,Original,22,Finished Airing,R - 17+ (violence & profanity),,Aniplex,TROYCA,24,2017,Action
Rekka no Honoo,TV,Manga,42,Finished Airing,PG-13 - Teens 13 or older,,Fuji TV,Studio Pierrot,23,1997,Action
Hibike! Euphonium,TV,Novel,13,Finished Airing,PG-13 - Teens 13 or older,,Lantis,Kyoto Animation,23,2015,Music
Gintama.: Shirogane no Tamashii-hen,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Bandai Namco Pictures,24,2018,Action
Gun-dou Musashi,TV,Original,26,Finished Airing,PG-13 - Teens 13 or older,,TBS,ACC Production,24,2006,Adventure
Denki-gai no Honya-san,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,"The first half of Episode 1 was streamed in advance as a preview on September 23, 2014. on Niconico Live. Regular broadcasting began on October 2, 2014.",Sotsu,Shin-Ei Animation,23,2014,Comedy
Uchi no 3 Shimai,TV,Other,141,Finished Airing,G - All Ages,,,"Toei Animation, Daewon Media",23,2008,Comedy
Hourou Musuko Specials,Special,Manga,2,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,AIC Classic,23,2011,Drama
Selector Infected WIXOSS,TV,Card game,12,Finished Airing,R - 17+ (violence & profanity),,Magic Capsule,J.C.Staff,24,2014,Game
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,TV,Manga,12,Finished Airing,R+ - Mild Nudity,,Lantis,LMD,6,2012,Comedy
Ultra B,TV,Manga,119,Finished Airing,G - All Ages,,,Shin-Ei Animation,10,1987,Comedy
Saint_Oniisan (Movie),Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,A-1 Pictures,89,2013,Comedy
Supernatural The Animation,OVA,Other,22,Finished Airing,R - 17+ (violence & profanity),,,Madhouse,24,2011,Action
Andromeda Stories,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Toei Animation,85,1982,Action
ACCA: 13-ku Kansatsu-ka,TV,Manga,12,Finished Airing,R - 17+ (violence & profanity),,Bandai Visual,Madhouse,24,2017,Mystery
Alice to Zouroku,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,J.C.Staff,23,2017,Adventure
Micchiri Neko,TV,Web manga,13,Finished Airing,G - All Ages,,Frencel,helo.inc,3,2018,Comedy
Slayers,TV,Light novel,26,Finished Airing,PG-13 - Teens 13 or older,,J.C.Staff,E&amp;G Films,22,1995,Adventure
Seikaisuru Kado,TV,Original,12,Finished Airing,PG-13 - Teens 13 or older,,Kinoshita Group Holdings,Toei Animation,23,2017,Sci-Fi
Dragon Ball Super,TV,Manga,131,Finished Airing,PG-13 - Teens 13 or older,The first 27 episodes are adaptations of the films Dragon Ball Z Movie 14: Kami to Kami (episodes 1-14) and Dragon Ball Z Movie 15: Fukkatsu no F (episodes 15-27).,Yomiko Advertising,Toei Animation,23,2015,Action
Yama no Susume,TV,Manga,12,Finished Airing,G - All Ages,Yama no Susume adapts the 1st volume and part of the 2nd volume of siro&#039;s manga series of the same title.,Earth Star Entertainment,8bit,3,2013,Adventure
Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,OVA,Visual novel,4,Finished Airing,Rx - Hentai,,,Majin,30,2012,Action
Princess Principal,TV,Original,12,Finished Airing,R - 17+ (violence & profanity),,Bandai Visual,"Actas, Studio 3Hz",25,2017,Action
Nyanpire The Animation,TV,Manga,12,Finished Airing,G - All Ages,,,Gonzo,4,2011,Comedy
Kira Kira 5th Anniversary Live Anime: Kick Start Generation,OVA,Visual novel,1,Finished Airing,G - All Ages,,Lantis,Silver Link.,26,2013,Music
Tenpou Ibun: Ayakashi Ayashi,TV,Original,25,Finished Airing,R - 17+ (violence & profanity),,Aniplex,Bones,20,2006,Supernatural
Persona 4 the Animation,TV,Game,25,Finished Airing,PG-13 - Teens 13 or older,"Persona 4 the Animation, based on the popular 2008 PlayStation 2 game, was directed by Seiji Kishi, well-known from other game adaptations.",Aniplex,AIC A.S.T.A.,25,2011,Sci-Fi
Fate/stay night Movie: Unlimited Blade Works,Movie,Visual novel,1,Finished Airing,PG-13 - Teens 13 or older,,Geneon Universal Entertainment,Studio Deen,100,2010,Action
Nazotoki-hime wa Meitantei_,OVA,Manga,6,Finished Airing,G - All Ages,,,SynergySP,12,2012,Mystery
Fairy Tail,TV,Manga,175,Finished Airing,PG-13 - Teens 13 or older,"Fairy Tail won Animax Asia&#039;s Anime of the Year Award in 2010, and the Best Japanese Anime Award and Best French Dubbing Award at the 19th Anime & Manga Grand Prix in 2012.",TV Tokyo,"Satelight, A-1 Pictures",24,2009,Action
Marvel Future Avengers,TV,Other,26,Finished Airing,PG - Children,,,Madhouse,22,2017,Action
Super Seisyun Brothers,TV,Web manga,14,Finished Airing,PG-13 - Teens 13 or older,,AIC,AIC Plus+,4,2013,Comedy
Baku Ane: Otouto Shibocchau zo! The Animation,OVA,Visual novel,1,Finished Airing,Rx - Hentai,"A director&#039;s cut was released in September 2017 which contains 5 minutes of additional footage, making a total runtime of 38 minutes.",Pink Pineapple,Seven,33,2014,Hentai
Sei Shoujo The Animation,OVA,Visual novel,1,Finished Airing,Rx - Hentai,,Pink Pineapple,Office Takeout,30,2014,Hentai
Seto no Hanayome Fan Disc,Special,Manga,2,Finished Airing,PG-13 - Teens 13 or older,,AIC,Gonzo,6,2008,Comedy
Momo Kyun Sword,TV,Light novel,12,Finished Airing,R+ - Mild Nudity,,flying DOG,"Project No.9, Tri-Slash",24,2014,Comedy
Onara Gorou,TV,Original,13,Finished Airing,PG - Children,,,ILCA,3,2016,Comedy
Kono Minikuku mo Utsukushii Sekai,TV,Original,12,Finished Airing,R+ - Mild Nudity,This is Gainax&#039;s 20th anniversary work.,Geneon Universal Entertainment,"Gainax, Shaft",24,2004,Sci-Fi
Go! Go! 575,TV,Game,4,Finished Airing,PG-13 - Teens 13 or older,,Sega,"C2C, Lay-duce",3,2014,Slice of Life
Mezzo Forte,OVA,Original,2,Finished Airing,Rx - Hentai,,Green Bunny,Arms,30,2000,Action
Master Keaton,TV,Manga,24,Finished Airing,R - 17+ (violence & profanity),,VAP,Madhouse,23,1998,Adventure
Shoujo kara Shoujo e...,OVA,Manga,2,Finished Airing,Rx - Hentai,,EDGE,BreakBottle,16,2016,Hentai
Angel&#039;s Feather,OVA,Visual novel,2,Finished Airing,PG-13 - Teens 13 or older,,,Venet,30,2006,Sci-Fi
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",OVA,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Silver Link.,23,2017,Action
Shugo Chara! Party!,TV,Manga,25,Finished Airing,PG - Children,,TV Tokyo,Satelight,21,2009,Comedy
Devilman Memorial,OVA,Manga,1,Finished Airing,R - 17+ (violence & profanity),Originally released on VHS and Laser Disc in 1999 and has never been released on DVD. It was also included in the Devilman blu-ray box set.,,Toei Animation,59,1999,Action
Working&#039;!!,TV,4-koma manga,13,Finished Airing,PG-13 - Teens 13 or older,"The first episode received a preview airing on September 3, 2011. The regular television airing started on October 1, 2011.",Aniplex,A-1 Pictures,24,2011,Slice of Life
Haikara-san ga Tooru,TV,Manga,42,Finished Airing,PG-13 - Teens 13 or older,,Asahi Broadcasting,Nippon Animation,24,1978,Slice of Life
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Studio Pierrot,40,2003,Action
Dragon Ball Specials,Special,Manga,2,Finished Airing,PG - Children,,,Toei Animation,12,1988,Fantasy
Petit Eva: Evangelion@School,ONA,Original,24,Finished Airing,G - All Ages,,Bandai Visual,"Xebec, Kanaban Graphics",3,2007,Comedy
Binan Koukou Chikyuu Boueibu LOVE!,TV,Original,12,Finished Airing,PG-13 - Teens 13 or older,,Sotsu,Diomedea,24,2015,Slice of Life
Ghiblies,Special,Original,2,Finished Airing,PG - Children,"The first was aired during a TV special about Ghibli, the second shown in theatres alongside &#039;The Cat Returns&#039;. Note that the animation studio in these shorts is not spelled ___ (hepburn: &#039;jiburi&#039;), but ___ (hepburn: &#039;giburi&#039;), so pronounced with the hard &#039;gi&#039; of &#039;give&#039; rather than the &#039;ji&#039; of &#039;jigsaw&#039; used for Ghibli.(Source: AniDB)",,Studio Ghibli,18,2000,Comedy
WWW.Working!!,TV,Web manga,13,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,A-1 Pictures,23,2016,Slice of Life
R.O.D the TV,TV,Light novel,26,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,J.C.Staff,25,2003,Action
Mahou no Star Magical Emi: Finale! Finale!,OVA,Original,1,Finished Airing,G - All Ages,,,Studio Pierrot,17,1986,Comedy
Hacka Doll The Animation,TV,Other,13,Finished Airing,PG-13 - Teens 13 or older,,Nihon Ad Systems,Creators in Pack,7,2015,Comedy
Dr. Slump: Arale-chan Specials,Special,Manga,2,Finished Airing,PG-13 - Teens 13 or older,,,Toei Animation,24,1981,Sci-Fi
Yami no Purple Eye,Music,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Youmex,Toei Animation,31,1987,Psychological
Apache Yakyuugun,TV,Manga,26,Finished Airing,G - All Ages,,,Toei Animation,25,1971,Action
Good Morning!!! Doronjo,TV,Original,243,Finished Airing,G - All Ages,,Nippon Television Network,Oddjob,1,2015,Comedy
Kiss x Sis (TV),TV,Manga,12,Finished Airing,R+ - Mild Nudity,Episode 1 was pre-streamed on Bandai Channel on 25 March 2010.,Starchild Records,feel.,24,2010,Harem
Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,OVA,Visual novel,3,Finished Airing,Rx - Hentai,"In 2013, the 3 episodes were released as a movie with approximately 1 minute of new content.",Milky Animation Label,Studio Eromatick,29,2009,Harem
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Toei Animation,24,1999,Comedy
Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,ONA,Original,1,Finished Airing,G - All Ages,,,"Shin-Ei Animation, DLE",0.916666667,2017,Comedy
Yakin Byoutou Ni,OVA,Visual novel,5,Finished Airing,Rx - Hentai,,D3,AT-2,30,2004,Hentai
Tennis no Ouji-sama,TV,Manga,178,Finished Airing,PG-13 - Teens 13 or older,"Since 2003, there has been a bi-annual musical that features different story arcs of the series. There also been a live action film based on the franchise.Prince of Tennis also has a lot of video game adaptations, a few Chinese dramas and a radio show based on the series.",Production I.G,Trans Arts,22,2001,Action
Gunnm,OVA,Manga,2,Finished Airing,R+ - Mild Nudity,,Animate Film,Madhouse,30,1993,Drama
Akai Kiba: Blue Sonnet,OVA,Manga,5,Finished Airing,R+ - Mild Nudity,,Mushi Production,Tatsunoko Production,29,1989,Action
Beat Shot!!,OVA,Manga,1,Finished Airing,Rx - Hentai,,AIC,Gainax,27,1989,Sports
T7S Longing for Summer Again and Again: Harukaze,Music,Game,1,Finished Airing,PG-13 - Teens 13 or older,,Genco,Chiptune,10,2017,Music
Detective Conan Movie 21: The Crimson Love Letter,Movie,Manga,1,Finished Airing,G - All Ages,,,TMS Entertainment,111,2017,Action
Tang Lang Bu Chan,Movie,Other,1,Finished Airing,G - All Ages,"This short film was produced by Shanghai Animation Film Studio using Chinese ink wash painting technique. It is based on the ancient Chinese fable ""The mantis stalks the cicada, unaware of the oriole behind"".",,Shanghai Animation Film Studio,5,1988,Historical
Danna ga Nani wo Itteiru ka Wakaranai Ken,TV,4-koma manga,13,Finished Airing,PG-13 - Teens 13 or older,,DAX Production,Seven,3,2014,Slice of Life
Igano Kabamaru,TV,Manga,24,Finished Airing,PG-13 - Teens 13 or older,,Toho,Group TAC,23,1983,Action
Mobile Suit Gundam Unicorn RE:0096,TV,Novel,22,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Sunrise,23,2016,Action
